MJD,filter,magpsf,magpsf_error,flux_status
58881.493565,g,20.108,0.195,positive
58878.531563,g,20.035,0.207,positive
58875.536780,r,20.609,,limit
58875.462234,g,20.008,0.202,positive
58871.536820,r,20.175,,limit
58871.463426,g,20.183,0.263,positive
58866.558924,g,19.930,0.164,positive
58866.540930,r,20.380,,limit
58862.482963,g,19.845,0.235,positive
58862.400600,r,19.305,,limit
58859.485340,r,19.691,,limit
58855.547430,r,20.504,,limit
58855.509039,g,20.033,0.166,positive
58852.571990,r,20.417,,limit
58852.548410,r,20.457,,limit
58852.537060,g,19.966,0.133,positive
58846.553993,g,19.837,0.130,positive
58838.554290,r,18.559,,limit
58838.494940,g,18.715,,limit
58835.486770,r,19.198,,limit
58831.550799,g,19.432,0.242,positive
58828.558160,g,19.413,0.194,positive
58814.511250,g,19.142,0.203,positive
58804.555200,r,19.144,,limit
58804.511460,g,18.705,,limit
58800.555580,g,18.865,,limit
58800.535230,r,19.340,,limit
58734.153229,g,18.018,0.084,positive
58726.156991,g,17.948,0.075,positive
58726.146088,r,18.054,0.062,positive
58723.158553,g,17.888,0.070,positive
58723.146204,r,18.096,0.076,positive
58720.156863,g,17.824,0.055,positive
58715.158310,g,17.740,0.054,positive
58701.162199,r,17.480,0.095,positive
58695.207627,r,17.297,0.066,positive
58692.222130,g,17.338,0.046,positive
58692.179595,r,17.043,0.046,positive
58689.185336,r,16.702,0.135,positive
58685.183333,g,17.244,0.049,positive
58682.244687,r,16.774,0.043,positive
58682.174352,g,17.205,0.062,positive
58679.281250,g,17.148,0.045,positive
58679.196481,r,16.642,0.035,positive
58676.298056,g,17.071,0.043,positive
58676.206308,r,16.567,0.038,positive
58673.194260,r,20.361,,limit
58673.177639,g,16.974,0.041,positive
58670.194259,g,16.882,0.042,positive
58670.178206,r,16.242,0.043,positive
58667.324317,g,16.755,0.046,positive
58667.216065,r,16.068,0.033,positive
58663.228982,g,16.549,0.036,positive
58663.198993,r,15.785,0.039,positive
58660.222731,r,15.687,0.029,positive
58660.193542,g,16.379,0.033,positive
58657.267975,r,15.581,0.039,positive
58657.196863,g,16.106,0.030,positive
58653.259699,g,15.729,0.042,positive
58650.234387,r,15.505,0.032,positive
58647.239167,r,15.460,0.029,positive
58644.258495,r,15.288,0.026,positive
58644.200949,g,15.015,0.029,positive
58641.280613,r,15.101,0.028,positive
58638.221262,r,14.850,0.028,positive
58638.198403,g,14.606,0.035,positive
58635.262685,r,14.745,0.035,positive
58635.204942,g,14.496,0.031,positive
58632.269028,r,14.619,0.025,positive
58628.290104,r,14.682,0.027,positive
58628.226898,g,14.401,0.030,positive
58619.245822,g,15.557,0.027,positive
58619.208333,r,15.781,0.034,positive
58618.222766,r,16.079,0.033,positive
58616.242454,g,16.755,0.039,positive
58616.183009,r,17.032,0.053,positive
58612.290620,g,21.145,,limit
58612.233500,r,20.896,,limit
58608.263870,r,20.504,,limit
58606.383060,g,20.669,,limit
58606.250050,r,20.652,,limit
58602.267360,r,20.060,,limit
58600.218660,g,20.448,,limit
58597.361630,r,20.322,,limit
58597.283660,g,20.756,,limit
58594.341960,r,19.438,,limit
58594.227030,g,19.505,,limit
58593.302520,r,19.593,,limit
58591.383970,r,19.235,,limit
58591.213060,g,19.204,,limit
58589.234390,r,19.129,,limit
58588.215010,g,17.496,,limit
58587.321870,g,20.102,,limit
58587.304840,r,20.055,,limit